url,alt,caption,credit
"https://s3.amazonaws.com/snwceomedia/ids/d6f84987-eb34-495a-a86b-e92397f5e976.original.jpg","TODO","The Indiana football defensive line prepares for the snap in the game against the University of North Texas on Sept. 5, 2026, at Memorial Stadium in Bloomington. Indiana had one sack in the game.","Katie Newett"
"https://s3.amazonaws.com/snwceomedia/ids/8a06f016-bba7-4ad4-8931-da7d597e07e1.original.jpg","TODO","Sophomore wide receiver Lebron Bond (left) and junior wide receiver Charlie Becker (right) chest bump in celebration of Becker's second touchdown against the University of North Texas on Sept. 5, 2026, at Memorial Stadium in Bloomington. Becker caught two touchdowns.","Katie Newett"
"https://s3.amazonaws.com/snwceomedia/ids/540720e0-c420-40cc-8c32-04741e940d8e.original.jpg","TODO","Indiana football head coach Curt Cignetti looks back at the score during the fourth quarter in Indiana's game against the University of North Texas on Sept. 5, 2026, at Memorial Stadium in Bloomington. Cignetti led the Hoosiers to their 17th straight win.","Katie Newett"
"https://s3.amazonaws.com/snwceomedia/ids/1ed2cff3-da52-401d-a4bb-0215c14a15da.original.jpg","TODO","Freshman defensive back Jamar Owens swipes underneath a University of North Texas player to get the tackle Sept. 5, 2026, at Memorial Stadium in Bloomington. Indiana's defense allowed North Texas no passing touchdowns in the game.","Katie Newett"
"https://s3.amazonaws.com/snwceomedia/ids/55d27c5a-e4ae-4a40-9272-10c5842a5e57.original.jpg","TODO","Junior wide receiver Charlie Becker falls into the end zone to score a touchdown in a game against the University of North Texas on Sept. 5, 2026, at Memorial Stadium in Bloomington. Becker had four receptions in the game.","Katie Newett"
"https://s3.amazonaws.com/snwceomedia/ids/58e74399-9c2a-4ecf-9677-d9a4d5292f99.original.jpg","TODO","Redshirt senior running back Lee Beebe Jr. runs past the University of North Texas defense to advance Indiana to the 25-yard line Sept. 5, 2026, at Memorial Stadium in Bloomington. The Hoosiers scored three touchdowns before halftime.","Katie Newett"
"https://s3.amazonaws.com/snwceomedia/ids/b9fd9741-b657-4dbb-aeaa-400114678c2f.original.jpg","TODO","Hoosier the Bison takes a selfie as he ziplines onto the field Sept. 5, 2026, at Memorial Stadium in Bloomington. Hoosier made his presence known as he swung down from the top of the stadium.","Katie Newett"
"https://s3.amazonaws.com/snwceomedia/ids/a3b02197-58ff-417a-b3b6-099ccb2ec1dd.original.jpg","TODO","An Indiana fan watches the field through sunglasses at the game against the University of North Texas on Sept. 5, 2026, at Memorial Stadium in Bloomington. The game started at noon.","Kennedy Hannah"
"https://s3.amazonaws.com/snwceomedia/ids/0c28259a-9f80-4716-ad03-a01bb6cba1a6.original.jpg","TODO","Redshirt senior quarterback Josh Hoover hands the ball off to junior running back Turbo Richard in a game against the University of North Texas on Sept. 5, 2026, at Memorial Stadium in Bloomington. Hoover received a minor injury to his face before the play.","Kennedy Hannah"
"https://s3.amazonaws.com/snwceomedia/ids/b9f5b5a9-2517-4225-b960-348dbe4c3fb7.original.jpg","TODO","Junior running back Turbo Richard yells to the crowd at the game against the University of North Texas on Sept. 5, 2026, at Memorial Stadium in Bloomington. Richard had 15 carries for 58 yards during the game.","Kennedy Hannah"
"https://s3.amazonaws.com/snwceomedia/ids/be2a3830-3a1c-49bd-bcbf-ba885c87fbc7.original.jpg","TODO","Redshirt senior running back Lee Beebe Jr. hits the ground in the game against the University of North Texas on Sept. 5, 2026, at Memorial Stadium in Bloomington. Beebe logged 33 rushing yards during the game.","Kennedy Hannah"
"https://s3.amazonaws.com/snwceomedia/ids/02bd6233-0805-4f65-8342-ae11d73baea8.original.jpg","TODO","The Indiana football team takes down a University of North Texas ball carrier on Sept. 5, 2026, at Memorial Stadium in Bloomington. The Hoosiers forced North Texas to punt twice.","Kennedy Hannah"
"https://s3.amazonaws.com/snwceomedia/ids/064a530c-810d-483d-a3ae-9557086b002c.original.jpg","TODO","Junior running back Turbo Richard falls into the end zone in the game against the University of North Texas on Sept. 5, 2026, at Memorial Stadium in Bloomington. Richard had two rushing touchdowns during the game.","Kennedy Hannah"
"https://s3.amazonaws.com/snwceomedia/ids/0e1493fe-8fbd-44bb-b2eb-8fe750c44ed2.original.jpg","TODO","Junior wide receiver Charlie Becker hauls in a 9-yard touchdown catch in a game against the University of North Texas on Sept. 5, 2026, at Memorial Stadium in Bloomington. Becker finished the game with 64 yards and two touchdowns.","Kennedy Hannah"
"https://s3.amazonaws.com/snwceomedia/ids/bae9ab59-68fa-44e4-a041-e57162c6d007.original.jpg","TODO","Seventh-year quarterback Grant Wilson celebrates with his team after scoring a touchdown in the game against the University of North Texas on Sept. 5, 2026, at Memorial Stadium in Bloomington. The Hoosiers defeated North Texas 52-16.","Kennedy Hannah"
